ID,Name,Tags,Services,Availability,Description,Alternates,Keywords,Warnings
AIRMASS,Air Mass,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",Air Mass according to Perez et al. 1990.,"Optical Air Mass,Relative Air Mass,Atmospheric Path Length","Optical Air Mass,Relative Air Mass,Atmospheric Path Length",
ALLSKY_NKT,All Sky Normalized Insolation Clearness Index,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The average zenith angle-independent expression of the all sky insolation clearness index.,"Normalized Clearness Index (Kn),Zenith-Independent Clearness Index","Normalized Clearness Index (Kn),Zenith-Independent Clearness Index",
ALLSKY_SFC_LW_UP,All Sky Surface Longwave Upward Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The upward thermal infrared irradiance under all sky conditions.,"Upwelling Longwave Radiation,Surface Emitted Thermal Radiation,Outgoing Surface Longwave Radiation,Terrestrial Surface Radiation","Upwelling Longwave Radiation,Surface Emitted Thermal Radiation,Outgoing Surface Longwave Radiation,Terrestrial Surface Radiation",
ALLSKY_SFC_PAR_DIFF,All Sky Surface Diffuse PAR,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Diffuse Photosynthetically Active Radiation,Scattered PAR,Diffuse Visible Radiation (400-700 nm)","Diffuse Photosynthetically Active Radiation,Scattered PAR,Diffuse Visible Radiation (400-700 nm),Solar",
ALLSKY_SFC_PAR_DIRH,All Sky Surface Direct Horizontal PAR,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Direct Beam PAR (Horizontal),Direct Photosynthetically Active Radiation","Direct Beam PAR (Horizontal),Direct Photosynthetically Active Radiation,Solar",
ALLSKY_SFC_SW_DIRH,All Sky Surface Shortwave Direct Horizontal Irradiance,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Direct Horizontal Irradiance,Beam Horizontal Irradiance,Direct Beam Irradiance (Horizontal)","Direct Horizontal Irradiance,Beam Horizontal Irradiance,Direct Beam Irradiance (Horizontal),Solar",
ALLSKY_SFC_SW_UP,All Sky Surface Shortwave Upward Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The upward shortwave irradiance under all sky conditions.,"Reflected Solar Radiation,Upwelling Shortwave Radiation,Surface Reflected Shortwave,Reflected Shortwave Irradiance","Reflected Solar Radiation,Upwelling Shortwave Radiation,Surface Reflected Shortwave,Reflected Shortwave Irradiance,Solar",
AOD_55_ADJ,Adjusted Aerosol Optical Depth 55,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The adjusted optical thickness at 0.55 um measured vertically; the component of the atmosphere to quantify the removal of radiant energy from an incident beam.,"Aerosol Optical Depth (AOD) at 550 nm,Aerosol Optical Thickness (AOT)","Aerosol Optical Depth (AOD) at 550 nm,Aerosol Optical Thickness (AOT)",
AOD_84,Aerosol Optical Depth 84,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The optical thickness at 0.84 um measured vertically; the component of the atmosphere to quantify the removal of radiant energy from an incident beam.,,,
CLOUD_AMT_DAY,Cloud Amount at Daytime,"official,radiation","api,gis,aws","daily,monthly,annual,climatology",The average percent of cloud amount during daylight.,"Daytime Cloud Cover,Daytime Cloud Fraction,Daytime Sky Cover","Daytime Cloud Cover,Daytime Cloud Fraction,Daytime Sky Cover",
CLOUD_AMT_NIGHT,Cloud Amount at Nighttime,"official,radiation","api,gis,aws","daily,monthly,annual,climatology",The average percent of cloud amount during nighttime.,"Nighttime Cloud Cover,Nighttime Cloud Fraction,Nighttime Sky Cover","Nighttime Cloud Cover,Nighttime Cloud Fraction,Nighttime Sky Cover",
CLOUD_OD,Cloud Optical Visible Depth,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The vertical optical thickness between the top and bottom of a cloud.,"Cloud Optical Depth (COD),Cloud Optical Thickness (COT),Cloud Opacity","Cloud Optical Depth (COD),Cloud Optical Thickness (COT),Cloud Opacity",
CLRSKY_DAYS,Clear Sky Days,"official,radiation","api,gis,aws","daily,monthly,annual,climatology",The number of Clear Sky Days if the daytime cloud amount is less than 10 percent.,"Cloud-Free Days,Sunny Days,Cloudless Days,Clear Days","Cloud-Free Days,Sunny Days,Cloudless Days,Clear Days",
CLRSKY_NKT,Clear Sky Normalized Insolation Clearness Index,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The average zenith angle-independent expression of the clear sky insolation clearness index.,"Clear Sky Normalized Clearness Index,Clear Sky Zenith-Independent Transmittance","Clear Sky Normalized Clearness Index,Clear Sky Zenith-Independent Transmittance",
CLRSKY_SFC_LW_DWN,Clear Sky Surface Longwave Downward Irradiance,"official,nrt,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The downward thermal infrared irradiance under clear sky conditions reaching a horizontal plane on the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from Sky.,"Clear Sky Downwelling Longwave Radiation,Clear Sky Atmospheric Back Radiation,Cloudless Sky Thermal Downwelling","Clear Sky Downwelling Longwave Radiation,Clear Sky Atmospheric Back Radiation,Cloudless Sky Thermal Downwelling",
CLRSKY_SFC_LW_UP,Clear Sky Surface Longwave Upward Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The upward thermal infrared irradiance under clear sky conditions.,"Clear Sky Upwelling Longwave Radiation,Clear Sky Surface Emitted Thermal Radiation","Clear Sky Upwelling Longwave Radiation,Clear Sky Surface Emitted Thermal Radiation",
CLRSKY_SFC_PAR_DIFF,Clear Sky Surface Diffuse PAR,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Clear Sky Diffuse PAR,Clear Sky Scattered Photosynthetically Active Radiation","Clear Sky Diffuse PAR,Clear Sky Scattered Photosynthetically Active Radiation,Solar",
CLRSKY_SFC_PAR_DIRH,Clear Sky Surface Direct Horizontal PAR,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Clear Sky Direct Beam PAR (Horizontal),Clear Sky Direct Photosynthetically Active Radiation","Clear Sky Direct Beam PAR (Horizontal),Clear Sky Direct Photosynthetically Active Radiation,Solar",
CLRSKY_SFC_SW_DIFF,Clear Sky Surface Shortwave Downward Diffuse Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Clear Sky Diffuse Solar Radiation,Rayleigh Scattered Radiation","Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Clear Sky Diffuse Solar Radiation,Rayleigh Scattered Radiation,Solar",
CLRSKY_SFC_SW_DIRH,Clear Sky Surface Shortwave Direct Horizontal Irradiance,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The solar irradiance incident on a horizontal plane at the surface of the earth under clear sky conditions.,"Clear Sky Direct Horizontal Irradiance,Clear Sky Beam Horizontal Irradiance","Clear Sky Direct Horizontal Irradiance,Clear Sky Beam Horizontal Irradiance,Solar",
CLRSKY_SFC_SW_DNI,Clear Sky Surface Shortwave Downward Direct Normal Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under clear sky conditions.,"Direct Normal Irradiance (DNI),Beam Radiation,Clear Sky Beam Normal Irradiance,Clear Sky Direct Beam Irradiance,Clear Sky Direct Solar Radiation","Direct Normal Irradiance (DNI),Beam Radiation,Clear Sky Beam Normal Irradiance,Clear Sky Direct Beam Irradiance,Clear Sky Direct Solar Radiation,Solar",
CLRSKY_SFC_SW_UP,Clear Sky Surface Shortwave Upward Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The upward shortwave irradiance under clearsky conditions.,"Clear Sky Reflected Solar Radiation,Clear Sky Upwelling Shortwave Radiation","Clear Sky Reflected Solar Radiation,Clear Sky Upwelling Shortwave Radiation,Solar",
CLRSKY_SRF_ALB,Clear Sky Surface Albedo,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The clear sky rate of reflectivity of the earth's surface; the ratio of the solar energy reflected by the surface of the earth compared to the total solar energy incident reaching the surface of the earth.,"Clear Sky Surface Reflectance,Clear Sky Broadband Albedo,Clear Sky Solar Reflectivity","Clear Sky Surface Reflectance,Clear Sky Broadband Albedo,Clear Sky Solar Reflectivity",
DISPH,Zero Plane Displacement Height,"official,nrt,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The height at which the mean velocity is zero due to large obstacles such as buildings/canopy.,"Zero-Plane Displacement Height,Displacement Height for Wind Profile,Canopy Displacement Height","Zero-Plane Displacement Height,Displacement Height for Wind Profile,Canopy Displacement Height",
EVLAND,Evaporation Land,"official,nrt,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology",The evaporation over land at the surface of the earth.,"Land Surface Evaporation,Terrestrial Evaporation,Land Evaporative Flux,Surface Water Evaporation over Land","Land Surface Evaporation,Terrestrial Evaporation,Land Evaporative Flux,Surface Water Evaporation over Land",
EVPTRNS,Evapotranspiration Energy Flux,"official,nrt,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology",The evapotranspiration energy flux at the surface of the earth.,"Evapotranspiration Flux,Latent Heat Flux from ET,ET Energy Flux,Surface Evapotranspiration Energy","Evapotranspiration Flux,Latent Heat Flux from ET,ET Energy Flux,Surface Evapotranspiration Energy",
FRSEAICE,Ice Covered Fraction,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The fraction of ocean covered by sea ice.,"Sea Ice Concentration,Sea Ice Area Fraction,Ocean Ice Cover Fraction,SIC","Sea Ice Concentration,Sea Ice Area Fraction,Ocean Ice Cover Fraction,SIC",
FRSNO,Land Snowcover Fraction,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The fraction of land covered by snow.,"Snow Cover Fraction,Fractional Snow Coverage,Snow-Covered Area Fraction,SCF","Snow Cover Fraction,Fractional Snow Coverage,Snow-Covered Area Fraction,SCF",
GWM_HEIGHT_ANOMALY,GWM Height Anomaly,reviewing,"api,aws",daily,Height anomaly with respect to mean level.,"Significant Wave Height Anomaly,SWH Anomaly,Wave Height Departure from Normal,Hs Anomaly","Significant Wave Height Anomaly,SWH Anomaly,Wave Height Departure from Normal,Hs Anomaly",
IMERG_PRECLIQUID_PROB,Probability of Liquid Precipitation,"official,meteorology","api,aws",daily,Probability of liquid precipitation estimated with a diagnostic parameterization using ancillary data.,"IMERG Rain Probability,Probability of Liquid Precipitation,Rain Phase Probability,Liquid Precipitation Likelihood","IMERG Rain Probability,Probability of Liquid Precipitation,Rain Phase Probability,Liquid Precipitation Likelihood",
IMERG_PRECTOT_COUNT,Count of Precipitation Retrievals,"official,meteorology","api,aws",daily,The count of half-hourly precipitation retrievals where precipitation is at least 0.01 mm.,"IMERG Observation Count,Precipitation Sample Count,IMERG Valid Retrievals","IMERG Observation Count,Precipitation Sample Count,IMERG Valid Retrievals",
ORIGINAL_ALLSKY_SFC_LW_DWN,All Sky Surface Longwave Downward Irradiance,"reference,radiation","api,aws",daily,The downward thermal infrared irradiance under all sky conditions reaching a horizontal plane on the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from Sky.,,,
ORIGINAL_ALLSKY_SFC_SW_DIFF,All Sky Surface Shortwave Diffuse Irradiance,"reference,radiation","api,aws","hourly,daily",The diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,,
ORIGINAL_ALLSKY_SFC_SW_DIRH,All Sky Surface Shortwave Direct Horizontal Irradiance,"reference,radiation","api,aws","hourly,daily",The solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,,
ORIGINAL_ALLSKY_SFC_SW_DWN,All Sky Surface Shortwave Downward Irradiance,"reference,radiation","api,aws",daily,"The total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under all sky conditions. An alternative term for the total solar irradiance is the ""Global Horizontal Irradiance"" or GHI.",,,
ORIGINAL_CLRSKY_SFC_LW_DWN,Clear Sky Surface Longwave Downward Irradiance,"reference,radiation","api,aws",daily,The downward thermal infrared irradiance under clear sky conditions reaching a horizontal plane on the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from Sky.,,,
ORIGINAL_CLRSKY_SFC_SW_DWN,Clear Sky Surface Shortwave Downward Irradiance,"reference,radiation","api,aws",daily,"The total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under clear sky conditions. An alternative term for the total solar irradiance is the ""Global Horizontal Irradiance"" or GHI.",,,
PBLTOP,Planetary Boundary Layer Top Pressure,"official,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology",The pressure at the top of the planet boundary layer.,"PBL Height Pressure,Boundary Layer Top Pressure,ABL Top Pressure,Mixed-Layer Top Pressure","PBL Height Pressure,Boundary Layer Top Pressure,ABL Top Pressure,Mixed-Layer Top Pressure",
PRECSNO,Snow Precipitation,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The snow precipitation at the surface of the earth.,"Snowfall Rate,Snow Precipitation Rate,Solid Precipitation Rate,Frozen Precipitation Rate","Snowfall Rate,Snow Precipitation Rate,Solid Precipitation Rate,Frozen Precipitation Rate",
PRECSNOLAND,Snow Precipitation Land,"official,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The snow precipitation only over land at the surface of the earth.,"Land Only Snowfall,Snowfall Rate over Land Only","Land Only Snowfall,Snowfall Rate over Land Only",
PSH,Peak Sun Hour,"official,meteorology","api,aws","daily,monthly,annual,climatology",The average intensity of solar irradiance that reaches the surface.,"Surface Pressure at Elevation,Barometric Pressure at Site Height,Elevation-Corrected Pressure","Surface Pressure at Elevation,Barometric Pressure at Site Height,Elevation-Corrected Pressure",
QV10M,Specific Humidity at 10 Meters,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The ratio of the mass of water vapor to the total mass of air at 10 meters.,"Specific Humidity at 10m,Mixing Ratio at 10 Meters,Water Vapor Mass Fraction at 10m","Specific Humidity at 10m,Mixing Ratio at 10 Meters,Water Vapor Mass Fraction at 10m",
RHOA,Surface Air Density,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The air density at surface of the earth.,"Surface Air Density,Atmospheric Density at Surface,Near-Surface Air Density,Air Density at Ground Level","Surface Air Density,Atmospheric Density at Surface,Near-Surface Air Density,Air Density at Ground Level",
SLP,Sea Level Pressure,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The sea level pressure at the surface of the earth.,"Mean Sea Level Pressure,MSLP,Barometric Pressure Reduced to Sea Level","Mean Sea Level Pressure,MSLP,Barometric Pressure Reduced to Sea Level",
SRF_ALB_ADJ,Surface Albedo Adjusted,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The ratio of the solar energy reflected by the surface of the earth compared to the total solar energy incident reaching the surface of the earth. Adjusted refers to CERES source parameter.,"Corrected Surface Albedo,Bias-Adjusted Surface Reflectance,Modified Surface Albedo","Corrected Surface Albedo,Bias-Adjusted Surface Reflectance,Modified Surface Albedo",
T10M,Temperature at 10 Meters,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The air (dry bulb) temperature at 10 meters above the surface of the earth.,"Dry Bulb Temperature at 10 Meters,Near-Surface Air Temperature at 10m,Ambient Temperature at 10 Meters,Standard Anemometer-Level Temperature,Screen-Level Temperature at 10m","Dry Bulb Temperature at 10 Meters,Near-Surface Air Temperature at 10m,Ambient Temperature at 10 Meters,Standard Anemometer-Level Temperature,Screen-Level Temperature at 10m,Surface Temperature",
T10M_MAX,Temperature at 10 Meters Maximum,"official,nrt,meteorology","api,aws","daily,monthly,annual,climatology",The maximum hourly air (dry bulb) temperature at 10 meters above the surface of the earth in the period of interest.,"Maximum Dry Bulb Temperature at 10 Meters,Maximum Temperature at 10 Meters,Daily Maximum Temperature at 10m,Peak Air Temperature at 10m","Maximum Dry Bulb Temperature at 10 Meters,Maximum Temperature at 10 Meters,Daily Maximum Temperature at 10m,Peak Air Temperature at 10m",
T10M_MIN,Temperature at 10 Meters Minimum,"official,nrt,meteorology","api,aws","daily,monthly,annual,climatology",The minimum hourly air (dry bulb) temperature at 10 meters above the surface of the earth in the period of interest.,"Minimum Dry Bulb Temperature at 10 Meters,Minimum Temperature at 10 Meters,Daily Minimum Temperature at 10m","Minimum Dry Bulb Temperature at 10 Meters,Minimum Temperature at 10 Meters,Daily Minimum Temperature at 10m",
T10M_RANGE,Temperature at 10 Meters Range,"official,nrt,meteorology","api,aws","daily,monthly,annual,climatology",The minimum and maximum hourly air (dry bulb) temperature range at 10 meters above the surface of the earth in the period of interest.,"Dry Bulb Temperature Range at 10 Meters,Diurnal Temperature Range at 10 Meters,Temperature Amplitude at 10 Meters","Dry Bulb Temperature Range at 10 Meters,Diurnal Temperature Range at 10 Meters,Temperature Amplitude at 10 Meters",
TO3,Total Column Ozone,"official,nrt,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology",The total amount of ozone in a column extending vertically from the earth's surface to the top of the atmosphere.,"Total Ozone Column,Columnar Ozone,Ozone Layer Thickness,Total Ozone in Dobson Units,TOC","Total Ozone Column,Columnar Ozone,Ozone Layer Thickness,Total Ozone in Dobson Units,TOC",
TQV,Total Column Precipitable Water,"official,nrt,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology","The total atmospheric water vapor contained in a vertical column of unit cross-sectional area extending from the surface to the top of the atmosphere, sourced from the GMAO.","Precipitable Water,Integrated Water Vapor,Total Precipitable Water,Column Water Vapor","Precipitable Water,Integrated Water Vapor,Total Precipitable Water,Column Water Vapor",
TROPPB,Tropopause Pressure based on blended estimate.,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The tropopause pressure based on the blended estimate.,"Tropopause Pressure Level,Tropopause Height Pressure,Thermal Tropopause Pressure","Tropopause Pressure Level,Tropopause Height Pressure,Thermal Tropopause Pressure",
TROPQ,Tropopause Specific Humidity using blended TROPP estimate.,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The ratio of the mass of water vapor to the total mass of air at the tropopause pressure given by TROPPB.,"Tropopause Water Vapor,Specific Humidity at Tropopause,Tropopause Moisture","Tropopause Water Vapor,Specific Humidity at Tropopause,Tropopause Moisture",
TROPT,Tropopause Temperature using blended TROPP estimate.,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The air (dry bulb) temperature at the tropopause pressure given by TROPPB.,"Tropopause Temperature Level,Temperature at Tropopause","Tropopause Temperature Level,Temperature at Tropopause",
TSOIL1,Soil Temperatures Layer 1,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 1; 0.018 to 0.0988 m depth.,"Shallow Soil Temperature,Soil Temperature Layer 1,Near-Surface Soil Temperature,Topsoil Temperature","Shallow Soil Temperature,Soil Temperature Layer 1,Near-Surface Soil Temperature,Topsoil Temperature",
TSOIL2,Soil Temperatures Layer 2,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 2; 0.0988 to 0.294 m depth.,"Soil Temperature Layer 2,Root-Zone Soil Temperature,Subsurface Soil Temperature","Soil Temperature Layer 2,Root-Zone Soil Temperature,Subsurface Soil Temperature",
TSOIL3,Soil Temperatures Layer 3,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 3; 0.294 to 0.6799 m depth.,"Soil Temperature Layer 3,Mid-Root-Zone Soil Temperature,Intermediate Soil Temperature","Soil Temperature Layer 3,Mid-Root-Zone Soil Temperature,Intermediate Soil Temperature",
TSOIL4,Soil Temperatures Layer 4,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 4; 0.6799 to 1.4425 m depth.,"Soil Temperature Layer 4,Deep Root-Zone Soil Temperature","Soil Temperature Layer 4,Deep Root-Zone Soil Temperature",
TSOIL5,Soil Temperatures Layer 5,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 5; 1.4425 to 2.949 m depth.,"Soil Temperature Layer 5,Deep Soil Temperature","Soil Temperature Layer 5,Deep Soil Temperature",
TSOIL6,Soil Temperatures Layer 6,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 6; 2.949 to 10.0 m depth.,"Soil Temperature Layer 6,Deep Subsurface Temperature,Bottom-Layer Soil Temperature","Soil Temperature Layer 6,Deep Subsurface Temperature,Bottom-Layer Soil Temperature",
TSURF,Surface Temperature of Land and Snow,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology", The estimate of surface temperature of land and snow; 0 to 0.018 m depth.,"Ground Surface Temperature,Land Surface Temperature,Ground Temperature","Ground Surface Temperature,Land Surface Temperature,Ground Temperature",
TS_ADJ,Earth Skin Temperature Adjusted,"official,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology",The adjusted average temperature at the earth's surface. Adjusted refers to CERES source parameter.,"Adjusted Surface Temperature,Corrected Skin Temperature,Bias-Adjusted Land Surface Temperature","Adjusted Surface Temperature,Corrected Skin Temperature,Bias-Adjusted Land Surface Temperature",
TS_RANGE,Earth Skin Temperature Range,"official,nrt,meteorology","api,aws","daily,monthly,annual,climatology",The minimum and maximum hourly earth skin temperature range in the period of interest.,"Surface Temperature Diurnal Range,Skin Temperature Range","Surface Temperature Diurnal Range,Skin Temperature Range",
U2M,Eastward Wind at 2 Meters,"official,nrt,meteorology,warning","api,aws","hourly,daily,monthly,annual,climatology",The estimate of the eastward wind average speed for winds blowing 2 meters above the surface of the earth.,"Zonal Wind at 2 Meters,U-Component of Wind at 2m,East-West Wind Component at 2m","Zonal Wind at 2 Meters,U-Component of Wind at 2m,East-West Wind Component at 2m","The eastward wind component is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
U50M,Eastward Wind at 50 Meters,"official,nrt,meteorology,warning","api,aws","hourly,daily,monthly,annual,climatology",The estimate of the eastward wind average speed for winds blowing 50 meters above the surface of the earth.,"Zonal Wind at 50 Meters,U-Component of Wind at 50m,East-West Wind Component at 50m","Zonal Wind at 50 Meters,U-Component of Wind at 50m,East-West Wind Component at 50m","The eastward wind component is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
V2M,Northward Wind at 2 Meters,"official,nrt,meteorology,warning","api,aws","hourly,daily,monthly,annual,climatology",The estimate of the northward wind average speed for winds blowing 2 meters above the surface of the earth.,"Meridional Wind at 2 Meters,V-Component of Wind at 2m,North-South Wind Component at 2m","Meridional Wind at 2 Meters,V-Component of Wind at 2m,North-South Wind Component at 2m","The northward wind component is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
V50M,Northward Wind at 50 Meters,"official,nrt,meteorology,warning","api,aws","hourly,daily,monthly,annual,climatology",The estimate of the northward wind average speed for winds blowing 50 meters above the surface of the earth.,"Meridional Wind at 50 Meters,V-Component of Wind at 50m,North-South Wind Component at 50m","Meridional Wind at 50 Meters,V-Component of Wind at 50m,North-South Wind Component at 50m","The northward wind component is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
Z0M,Surface Roughness,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The height above the displacement plane at which the mean wind becomes zero when extrapolating the logarithmic wind speed profile downward through the surface layer.,"Aerodynamic Roughness Length,Roughness Length for Momentum,Surface Roughness Length,Terrain Roughness Parameter","Aerodynamic Roughness Length,Roughness Length for Momentum,Surface Roughness Length,Terrain Roughness Parameter",
